web-scraper-order,web-scraper-start-url,phone price,delivery ,phone features,phone display image-src
1603005369-31,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tomorrow, October 19",,
1603005369-40,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Redmi Note 9 (Aqua Green, 6GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",
1603005369-20,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tuesday, October 20",,
1603005369-50,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Samsung Galaxy M01 (Red, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",
1603005369-52,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Vivo V19 (Mystic Silver, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",
1603005369-55,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/81mtDLql+XL._AC_UY218_.jpg
1603005369-36,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Samsung Galaxy M21 (Raven Black, 6GB RAM, 128GB Storage)",
1603005369-12,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"16,990",,,
1603005369-34,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tomorrow, October 19",,
1603005369-57,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/71SVzNmepQL._AC_UY218_.jpg
1603005369-70,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/61DlqYmSLOL._AC_UY218_.jpg
1603005369-24,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tomorrow, October 19",,
1603005369-7,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"8,999",,,
1603005369-49,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Redmi 9A (Midnight Black, 2Gb Ram, 32Gb Storage)",
1603005369-16,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"10,298",,,
1603005369-5,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"13,999",,,
1603005369-21,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tomorrow, October 19",,
1603005369-19,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Friday, October 23",,
1603005369-46,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",
1603005369-15,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"7,999",,,
1603005369-42,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL",
1603005369-59,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/61J79fezUgL._AC_UY218_.jpg
1603005369-41,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Vivo Y30 (Dazzle Blue, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",
1603005369-11,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"12,499",,,
1603005369-32,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tuesday, October 20",,
1603005369-68,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/81u-lC-haUL._AC_UY218_.jpg
1603005369-17,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"24,990",,,
