web-scraper-order,web-scraper-start-url,phone name,phone description,,price,phone image-src,Ratings and  reviews
1603006984-120,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 37,999",,
1603006984-147,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-138,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,https://rukminim1.flixcart.com/image/312/312/kdxfc7k0/mobile/h/c/e/realme-c12-rmx2189-original-imafupuyahzxtwfq.jpeg?q=70,
1603006984-178,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.439,861 Ratings & 4,190 Reviews"
1603006984-132,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 12,999",,
1603006984-94,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Infinix Smart 4 Plus (Violet, 32 GB)",,,,,
1603006984-133,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 6,999",,
1603006984-112,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB17.32 cm (6.82 inch) HD+ Display13MP + Depth Sensor | 8MP Front Camera6000 mAh Lithium-ion Polymer BatteryMediatek Helio A25 Processor1 Year on Handset and 6 Months on Accessories,,,,
1603006984-139,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-160,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.453,277 Ratings & 3,185 Reviews"
1603006984-128,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 7,499",,
1603006984-166,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.623,473 Ratings & 1,967 Reviews"
1603006984-125,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 18,499",,
1603006984-170,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.623,473 Ratings & 1,967 Reviews"
1603006984-82,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"POCO X3 (Cobalt Blue, 128 GB)",,,,,
1603006984-93,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Infinix Smart 4 Plus (Ocean Wave, 32 GB)",,,,,
1603006984-106,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 CompatibleBrand Warranty of 1 Year,,,,
1603006984-104,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB17.32 cm (6.82 inch) HD+ Display13MP + Depth Sensor | 8MP Front Camera6000 mAh Lithium-ion Polymer BatteryMediatek Helio A25 Processor1 Year on Handset and 6 Months on Accessories,,,,
1603006984-140,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
